t,x,y,yaw
0.0,-6.0004,-1.0,3.1416
0.017,-6.0004,-1.0,3.1416
0.033,-6.0004,-1.0,3.1416
0.05,-6.0005,-1.0,3.1416
0.067,-6.0005,-1.0,3.1411
0.083,-6.0005,-1.0,3.1399
0.1,-6.0005,-1.0,3.138
0.117,-6.0005,-1.0,3.1354
0.133,-6.0005,-1.0,3.1321
0.15,-6.0006,-1.0,3.1281
0.167,-6.0006,-1.0,3.1234
0.183,-6.0006,-1.0,3.118
0.2,-6.0006,-1.0,3.1118
0.217,-6.0006,-1.0,3.1049
0.233,-6.0006,-1.0,3.0973
0.25,-6.0006,-1.0,3.089
0.267,-6.0007,-1.0,3.08
0.283,-6.0007,-1.0,3.0703
0.3,-6.0007,-1.0,3.0599
0.317,-6.0007,-1.0,3.0487
0.333,-6.0007,-1.0,3.0368
0.35,-6.0007,-1.0,3.0242
0.367,-6.0007,-1.0,3.0108
0.383,-6.0008,-1.0,2.9967
0.4,-6.0008,-1.0,2.9819
0.417,-6.0008,-1.0,2.9663
0.433,-6.0008,-1.0,2.95
0.45,-6.0008,-1.0,2.933
0.467,-6.0008,-0.9999,2.9152
0.483,-6.0008,-0.9999,2.8967
0.5,-6.0008,-0.9999,2.8775
0.517,-6.0008,-0.9999,2.8579
0.533,-6.0007,-0.9999,2.8381
0.55,-6.0007,-1.0,2.8183
0.567,-6.0006,-1.0,2.7984
0.583,-6.0005,-1.0,2.7785
0.6,-6.0005,-1.0,2.7585
0.617,-6.0004,-1.0,2.7386
0.633,-6.0003,-1.0001,2.7187
0.65,-6.0003,-1.0001,2.6988
0.667,-6.0002,-1.0001,2.6789
0.683,-6.0001,-1.0002,2.6589
0.7,-6.0001,-1.0002,2.639
0.717,-6.0,-1.0002,2.6191
0.733,-5.9999,-1.0003,2.5992
0.75,-5.9999,-1.0003,2.5793
0.767,-5.9998,-1.0003,2.5594
0.783,-5.9998,-1.0004,2.5395
0.8,-5.9997,-1.0004,2.5196
0.817,-5.9996,-1.0004,2.4997
0.833,-5.9996,-1.0005,2.4797
0.85,-5.9995,-1.0005,2.4598
0.867,-5.9995,-1.0006,2.4399
0.883,-5.9994,-1.0006,2.42
0.9,-5.9994,-1.0007,2.4001
0.917,-5.9993,-1.0007,2.3802
0.933,-5.9992,-1.0008,2.3603
0.95,-5.9992,-1.0008,2.3404
0.967,-5.9991,-1.0009,2.3205
0.983,-5.9991,-1.0009,2.3006
1.0,-5.999,-1.001,2.2807
1.017,-5.999,-1.001,2.2608
1.033,-5.999,-1.0011,2.2409
1.05,-5.9989,-1.0011,2.221
1.067,-5.9989,-1.0012,2.2011
1.083,-5.9988,-1.0012,2.1812
1.1,-5.9988,-1.0013,2.1613
1.117,-5.9987,-1.0013,2.1414
1.133,-5.9987,-1.0014,2.1215
1.15,-5.9987,-1.0015,2.1017
1.167,-5.9986,-1.0015,2.0823
1.183,-5.9986,-1.0016,2.0635
1.2,-5.9986,-1.0016,2.0452
1.217,-5.9985,-1.0017,2.0276
1.233,-5.9985,-1.0017,2.0107
1.25,-5.9985,-1.0018,1.9943
1.267,-5.9985,-1.0018,1.9786
1.283,-5.9985,-1.0019,1.9635
1.3,-5.9985,-1.0019,1.9489
1.317,-5.9984,-1.0019,1.9349
1.333,-5.9984,-1.002,1.9214
1.35,-5.9984,-1.002,1.9085
1.367,-5.9984,-1.0021,1.896
1.383,-5.9984,-1.0021,1.884
1.4,-5.9984,-1.0021,1.8724
1.417,-5.9984,-1.0022,1.8613
1.433,-5.9984,-1.0022,1.8506
1.45,-5.9984,-1.0022,1.8403
1.467,-5.9984,-1.0022,1.8304
1.483,-5.9984,-1.0023,1.8208
1.5,-5.9983,-1.0023,1.8116
1.517,-5.9983,-1.0023,1.8028
1.533,-5.9984,-1.0019,1.7943
1.55,-5.9986,-1.001,1.7862
1.567,-5.999,-0.9995,1.7783
1.583,-5.9994,-0.9975,1.7708
1.6,-5.9999,-0.9949,1.7635
1.617,-6.0005,-0.9917,1.7565
1.633,-6.0012,-0.988,1.7497
1.65,-6.0019,-0.9838,1.7432
1.667,-6.0027,-0.979,1.7369
1.683,-6.0036,-0.9736,1.7309
1.7,-6.0045,-0.9677,1.725
1.717,-6.0055,-0.9612,1.7194
1.733,-6.0066,-0.9542,1.7139
1.75,-6.0076,-0.9466,1.7086
1.767,-6.0087,-0.9384,1.7035
1.783,-6.0099,-0.9297,1.6986
1.8,-6.011,-0.9204,1.6939
1.817,-6.0122,-0.9105,1.6893
1.833,-6.0134,-0.9001,1.6848
